vin	V(vout)
Step Information: Rd=10K  (Step: 1/4)
0.000000000000000e+00	4.000000e+00
1.000000000000000e-02	4.000000e+00
2.000000000000000e-02	4.000000e+00
3.000000000000000e-02	4.000000e+00
4.000000000000000e-02	4.000000e+00
5.000000000000000e-02	4.000000e+00
6.000000000000000e-02	4.000000e+00
7.000000000000001e-02	4.000000e+00
8.000000000000000e-02	4.000000e+00
9.000000000000000e-02	4.000000e+00
9.999999999999999e-02	4.000000e+00
1.100000000000000e-01	4.000000e+00
1.200000000000000e-01	4.000000e+00
1.300000000000000e-01	4.000000e+00
1.400000000000000e-01	4.000000e+00
1.500000000000000e-01	4.000000e+00
1.600000000000000e-01	4.000000e+00
1.700000000000000e-01	4.000000e+00
1.800000000000000e-01	4.000000e+00
1.900000000000000e-01	4.000000e+00
2.000000000000000e-01	4.000000e+00
2.100000000000000e-01	4.000000e+00
2.200000000000001e-01	4.000000e+00
2.300000000000001e-01	4.000000e+00
2.400000000000001e-01	4.000000e+00
2.500000000000001e-01	4.000000e+00
2.600000000000001e-01	4.000000e+00
2.700000000000001e-01	4.000000e+00
2.800000000000001e-01	4.000000e+00
2.900000000000001e-01	4.000000e+00
3.000000000000001e-01	4.000000e+00
3.100000000000001e-01	4.000000e+00
3.200000000000001e-01	4.000000e+00
3.300000000000001e-01	4.000000e+00
3.400000000000001e-01	4.000000e+00
3.500000000000001e-01	4.000000e+00
3.600000000000002e-01	4.000000e+00
3.700000000000002e-01	4.000000e+00
3.800000000000002e-01	4.000000e+00
3.900000000000002e-01	4.000000e+00
4.000000000000002e-01	4.000000e+00
4.100000000000002e-01	4.000000e+00
4.200000000000002e-01	4.000000e+00
4.300000000000002e-01	4.000000e+00
4.400000000000002e-01	4.000000e+00
4.500000000000002e-01	4.000000e+00
4.600000000000002e-01	4.000000e+00
4.700000000000003e-01	4.000000e+00
4.800000000000003e-01	4.000000e+00
4.900000000000003e-01	4.000000e+00
5.000000000000002e-01	4.000000e+00
5.100000000000002e-01	4.000000e+00
5.200000000000002e-01	4.000000e+00
5.300000000000002e-01	4.000000e+00
5.400000000000003e-01	4.000000e+00
5.500000000000003e-01	4.000000e+00
5.600000000000003e-01	4.000000e+00
5.700000000000003e-01	4.000000e+00
5.800000000000003e-01	4.000000e+00
5.900000000000003e-01	4.000000e+00
6.000000000000003e-01	4.000000e+00
6.100000000000003e-01	4.000000e+00
6.200000000000003e-01	4.000000e+00
6.300000000000003e-01	4.000000e+00
6.400000000000003e-01	4.000000e+00
6.500000000000004e-01	4.000000e+00
6.600000000000004e-01	4.000000e+00
6.700000000000004e-01	4.000000e+00
6.800000000000004e-01	4.000000e+00
6.900000000000004e-01	4.000000e+00
7.000000000000004e-01	4.000000e+00
7.100000000000004e-01	3.999906e+00
7.200000000000004e-01	3.999624e+00
7.300000000000004e-01	3.999154e+00
7.400000000000004e-01	3.998496e+00
7.500000000000004e-01	3.997650e+00
7.600000000000005e-01	3.996617e+00
7.700000000000005e-01	3.995395e+00
7.800000000000005e-01	3.993986e+00
7.900000000000005e-01	3.992390e+00
8.000000000000005e-01	3.990606e+00
8.100000000000005e-01	3.988635e+00
8.200000000000005e-01	3.986477e+00
8.300000000000005e-01	3.984132e+00
8.400000000000005e-01	3.981600e+00
8.500000000000005e-01	3.978881e+00
8.600000000000005e-01	3.975977e+00
8.700000000000006e-01	3.972886e+00
8.800000000000006e-01	3.969609e+00
8.900000000000006e-01	3.966147e+00
9.000000000000006e-01	3.962500e+00
9.100000000000006e-01	3.958667e+00
9.200000000000006e-01	3.954650e+00
9.300000000000006e-01	3.950449e+00
9.400000000000006e-01	3.946063e+00
9.500000000000006e-01	3.941494e+00
9.600000000000006e-01	3.936742e+00
9.700000000000006e-01	3.931806e+00
9.800000000000006e-01	3.926688e+00
9.900000000000007e-01	3.921388e+00
1.000000000000001e+00	3.915906e+00
1.010000000000001e+00	3.910243e+00
1.020000000000001e+00	3.904399e+00
1.030000000000001e+00	3.898375e+00
1.040000000000001e+00	3.892170e+00
1.050000000000001e+00	3.885787e+00
1.060000000000001e+00	3.879224e+00
1.070000000000001e+00	3.872483e+00
1.080000000000001e+00	3.865564e+00
1.090000000000001e+00	3.858468e+00
1.100000000000001e+00	3.851195e+00
1.110000000000001e+00	3.843746e+00
1.120000000000001e+00	3.836121e+00
1.130000000000001e+00	3.828321e+00
1.140000000000001e+00	3.820347e+00
1.150000000000001e+00	3.812199e+00
1.160000000000001e+00	3.803878e+00
1.170000000000001e+00	3.795384e+00
1.180000000000001e+00	3.786718e+00
1.190000000000001e+00	3.777881e+00
1.200000000000001e+00	3.768874e+00
1.210000000000001e+00	3.759697e+00
1.220000000000001e+00	3.750350e+00
1.230000000000001e+00	3.740836e+00
1.240000000000001e+00	3.731153e+00
1.250000000000001e+00	3.721304e+00
1.260000000000001e+00	3.711288e+00
1.270000000000001e+00	3.701107e+00
1.280000000000001e+00	3.690761e+00
1.290000000000001e+00	3.680252e+00
1.300000000000001e+00	3.669579e+00
1.310000000000001e+00	3.658744e+00
1.320000000000001e+00	3.647747e+00
1.330000000000001e+00	3.636590e+00
1.340000000000001e+00	3.625273e+00
1.350000000000001e+00	3.613796e+00
1.360000000000001e+00	3.602162e+00
1.370000000000001e+00	3.590371e+00
1.380000000000001e+00	3.578423e+00
1.390000000000001e+00	3.566319e+00
1.400000000000001e+00	3.554061e+00
1.410000000000001e+00	3.541649e+00
1.420000000000001e+00	3.529084e+00
1.430000000000001e+00	3.516367e+00
1.440000000000001e+00	3.503499e+00
1.450000000000001e+00	3.490481e+00
1.460000000000001e+00	3.477314e+00
1.470000000000001e+00	3.463999e+00
1.480000000000001e+00	3.450536e+00
1.490000000000001e+00	3.436927e+00
1.500000000000001e+00	3.423173e+00
1.510000000000001e+00	3.409275e+00
1.520000000000001e+00	3.395233e+00
1.530000000000001e+00	3.381048e+00
1.540000000000001e+00	3.366723e+00
1.550000000000001e+00	3.352257e+00
1.560000000000001e+00	3.337651e+00
1.570000000000001e+00	3.322908e+00
1.580000000000001e+00	3.308027e+00
1.590000000000001e+00	3.293010e+00
1.600000000000001e+00	3.277857e+00
1.610000000000001e+00	3.262570e+00
1.620000000000001e+00	3.247150e+00
1.630000000000001e+00	3.231598e+00
1.640000000000001e+00	3.215915e+00
1.650000000000001e+00	3.200102e+00
1.660000000000001e+00	3.184160e+00
1.670000000000001e+00	3.168090e+00
1.680000000000001e+00	3.151893e+00
1.690000000000001e+00	3.135571e+00
1.700000000000001e+00	3.119123e+00
1.710000000000001e+00	3.102553e+00
1.720000000000001e+00	3.085860e+00
1.730000000000001e+00	3.069045e+00
1.740000000000001e+00	3.052111e+00
1.750000000000001e+00	3.035057e+00
1.760000000000001e+00	3.017885e+00
1.770000000000001e+00	3.000596e+00
1.780000000000001e+00	2.983191e+00
1.790000000000001e+00	2.965672e+00
1.800000000000001e+00	2.948039e+00
1.810000000000001e+00	2.930294e+00
1.820000000000001e+00	2.912437e+00
1.830000000000001e+00	2.894470e+00
1.840000000000001e+00	2.876394e+00
1.850000000000001e+00	2.858210e+00
1.860000000000001e+00	2.839919e+00
1.870000000000001e+00	2.821522e+00
1.880000000000001e+00	2.803020e+00
1.890000000000001e+00	2.784416e+00
1.900000000000001e+00	2.765709e+00
1.910000000000001e+00	2.746901e+00
1.920000000000001e+00	2.727992e+00
1.930000000000001e+00	2.708985e+00
1.940000000000002e+00	2.689880e+00
1.950000000000002e+00	2.670678e+00
1.960000000000002e+00	2.651381e+00
1.970000000000002e+00	2.631989e+00
1.980000000000002e+00	2.612505e+00
1.990000000000002e+00	2.592928e+00
2.000000000000001e+00	2.573260e+00
2.010000000000001e+00	2.553502e+00
2.020000000000001e+00	2.533656e+00
2.030000000000001e+00	2.513722e+00
2.040000000000000e+00	2.493702e+00
2.050000000000000e+00	2.473596e+00
2.060000000000000e+00	2.453406e+00
2.070000000000000e+00	2.433134e+00
2.080000000000000e+00	2.412779e+00
2.089999999999999e+00	2.392344e+00
2.099999999999999e+00	2.371828e+00
2.109999999999999e+00	2.351235e+00
2.119999999999999e+00	2.330564e+00
2.129999999999999e+00	2.309816e+00
2.139999999999998e+00	2.288994e+00
2.149999999999998e+00	2.268097e+00
2.159999999999998e+00	2.247128e+00
2.169999999999998e+00	2.226087e+00
2.179999999999997e+00	2.204975e+00
2.189999999999997e+00	2.183793e+00
2.199999999999997e+00	2.162543e+00
2.209999999999997e+00	2.141226e+00
2.219999999999997e+00	2.119842e+00
2.229999999999996e+00	2.098393e+00
2.239999999999996e+00	2.076880e+00
2.249999999999996e+00	2.055304e+00
2.259999999999996e+00	2.033666e+00
2.269999999999996e+00	2.011967e+00
2.279999999999995e+00	1.990208e+00
